1/975 infeasible 0.2s (3, 3) r1c1-r1c2-r1c3-r1c4-r1c5-r1c6
2/975 infeasible 0.2s (4, 2) r1c1-r1c2-r2c2-r3c2-r4c2-r4c1
3/975 infeasible 0.2s (4, 2) r1c1-r1c2-r2c2-r3c2-r4c2-r4c3
4/975 infeasible 0.2s (4, 2) r1c1-r1c2-r2c2-r3c2-r4c2-r5c2
5/975 infeasible 0.2s (4, 2) r1c1-r2c1-r2c2-r3c2-r4c2-r4c1
6/975 infeasible 0.2s (4, 2) r1c1-r2c1-r2c2-r3c2-r4c2-r4c3
7/975 infeasible 0.2s (4, 2) r1c1-r2c1-r2c2-r3c2-r4c2-r5c2
8/975 infeasible 0.2s (4, 2) r1c1-r2c1-r3c1-r3c2-r4c2-r4c1
9/975 infeasible 0.2s (4, 2) r1c1-r2c1-r3c1-r3c2-r4c2-r4c3
10/975 infeasible 0.2s (4, 2) r1c1-r2c1-r3c1-r3c2-r4c2-r5c2
11/975 infeasible 0.2s (3, 3) r1c1-r2c1-r3c1-r4c1-r4c2-r4c3
12/975 infeasible 0.2s (3, 3) r1c1-r2c1-r3c1-r4c1-r4c2-r5c2
13/975 infeasible 0.2s (3, 3) r1c1-r2c1-r3c1-r4c1-r5c1-r5c2
14/975 infeasible 0.2s (3, 3) r1c1-r2c1-r3c1-r4c1-r5c1-r6c1
15/975 infeasible 0.2s (4, 2) r1c2-r1c1-r2c1-r3c1-r4c1-r4c2
16/975 infeasible 0.2s (4, 2) r1c2-r1c1-r2c1-r3c1-r4c1-r5c1
17/975 infeasible 0.2s (2, 4) r1c2-r1c3-r1c4-r1c5-r1c6-r2c6
18/975 infeasible 0.2s (4, 2) r1c2-r2c2-r2c1-r3c1-r4c1-r4c2
19/975 infeasible 0.2s (4, 2) r1c2-r2c2-r2c1-r3c1-r4c1-r5c1
20/975 infeasible 0.2s (4, 2) r1c2-r2c2-r3c2-r3c1-r4c1-r4c2
21/975 infeasible 0.2s (4, 2) r1c2-r2c2-r3c2-r3c1-r4c1-r5c1
22/975 infeasible 0.2s (3, 3) r1c2-r2c2-r3c2-r4c2-r4c1-r5c1
23/975 infeasible 0.2s (3, 3) r1c2-r2c2-r3c2-r4c2-r4c3-r5c3
24/975 infeasible 0.2s (3, 3) r1c2-r2c2-r3c2-r4c2-r5c2-r5c1
25/975 infeasible 0.2s (3, 3) r1c2-r2c2-r3c2-r4c2-r5c2-r5c3
26/975 infeasible 0.2s (3, 3) r1c2-r2c2-r3c2-r4c2-r5c2-r6c2
27/975 infeasible 0.2s (4, 2) r1c3-r1c2-r2c2-r3c2-r4c2-r4c1
28/975 infeasible 0.2s (4, 2) r1c3-r1c2-r2c2-r3c2-r4c2-r4c3
29/975 infeasible 0.2s (4, 2) r1c3-r1c2-r2c2-r3c2-r4c2-r5c2
30/975 infeasible 0.0s (1, 4, 1) r1c3-r1c4-r1c5-r1c6-r2c6-r2c7
31/975 infeasible 0.2s (1, 4, 1) r1c4-r1c3-r1c2-r2c2-r3c2-r4c2
32/975 infeasible 0.3s (3, 3) r1c4-r1c5-r1c6-r1c7-r1c8-r1c9
33/975 infeasible 0.3s (3, 3) r1c4-r1c5-r1c6-r1c7-r1c8-r2c8
34/975 infeasible 0.4s (3, 3) r1c4-r1c5-r1c6-r1c7-r2c7-r2c8
35/975 infeasible 0.2s (3, 3) r1c4-r1c5-r1c6-r1c7-r2c7-r3c7
36/975 infeasible 0.2s (4, 2) r1c4-r1c5-r1c6-r2c6-r2c7-r1c7
37/975 infeasible 0.2s (4, 2) r1c4-r1c5-r1c6-r2c6-r2c7-r2c8
38/975 infeasible 0.2s (4, 2) r1c4-r1c5-r1c6-r2c6-r2c7-r3c7
39/975 infeasible 0.2s (2, 4) r1c5-r1c4-r1c3-r1c2-r1c1-r2c1
40/975 infeasible 0.2s (2, 4) r1c5-r1c4-r1c3-r1c2-r2c2-r2c1
41/975 infeasible 0.2s (2, 4) r1c5-r1c4-r1c3-r1c2-r2c2-r3c2
42/975 infeasible 0.3s (2, 4) r1c5-r1c6-r1c7-r1c8-r1c9-r2c9
43/975 infeasible 0.3s (2, 4) r1c5-r1c6-r1c7-r1c8-r2c8-r2c7
44/975 infeasible 0.3s (2, 4) r1c5-r1c6-r1c7-r1c8-r2c8-r2c9
45/975 infeasible 0.3s (2, 4) r1c5-r1c6-r1c7-r1c8-r2c8-r3c8
46/975 infeasible 0.3s (2, 4) r1c5-r1c6-r1c7-r2c7-r2c8-r1c8
47/975 infeasible 0.2s (2, 4) r1c5-r1c6-r1c7-r2c7-r2c8-r2c9
48/975 infeasible 0.2s (2, 4) r1c5-r1c6-r1c7-r2c7-r2c8-r3c8
49/975 infeasible 0.3s (2, 4) r1c5-r1c6-r1c7-r2c7-r3c7-r3c8
50/975 infeasible 0.4s (3, 3) r1c5-r1c6-r2c6-r2c7-r1c7-r1c8
51/975 infeasible 0.3s (3, 3) r1c5-r1c6-r2c6-r2c7-r2c8-r1c8
52/975 infeasible 0.3s (3, 3) r1c5-r1c6-r2c6-r2c7-r2c8-r2c9
53/975 infeasible 0.3s (3, 3) r1c5-r1c6-r2c6-r2c7-r2c8-r3c8
54/975 infeasible 0.3s (3, 3) r1c5-r1c6-r2c6-r2c7-r3c7-r3c8
55/975 infeasible 0.2s (4, 2) r1c5-r1c6-r2c6-r3c6-r3c7-r2c7
56/975 infeasible 0.2s (4, 2) r1c5-r1c6-r2c6-r3c6-r3c7-r3c8
57/975 infeasible 0.2s (3, 3) r1c6-r1c5-r1c4-r1c3-r1c2-r2c2
58/975 infeasible 0.2s (1, 4, 1) r1c6-r1c7-r1c8-r2c8-r2c7-r2c6
59/975 infeasible 0.3s (2, 4) r1c6-r2c6-r2c7-r1c7-r1c8-r1c9
60/975 infeasible 0.3s (2, 4) r1c6-r2c6-r2c7-r1c7-r1c8-r2c8
61/975 infeasible 0.3s (2, 4) r1c6-r2c6-r2c7-r2c8-r1c8-r1c7
62/975 infeasible 0.3s (2, 4) r1c6-r2c6-r2c7-r2c8-r1c8-r1c9
63/975 infeasible 0.2s (2, 4) r1c6-r2c6-r2c7-r2c8-r2c9-r1c9
64/975 infeasible 0.3s (2, 4) r1c6-r2c6-r2c7-r2c8-r2c9-r3c9
65/975 infeasible 0.2s (2, 4) r1c6-r2c6-r2c7-r2c8-r3c8-r3c7
66/975 infeasible 0.2s (2, 4) r1c6-r2c6-r2c7-r2c8-r3c8-r3c9
67/975 infeasible 0.2s (2, 4) r1c6-r2c6-r2c7-r3c7-r3c8-r2c8
68/975 infeasible 0.3s (2, 4) r1c6-r2c6-r2c7-r3c7-r3c8-r3c9
69/975 infeasible 0.2s (3, 3) r1c6-r2c6-r3c6-r3c7-r2c7-r1c7
70/975 infeasible 0.3s (3, 3) r1c6-r2c6-r3c6-r3c7-r2c7-r2c8
71/975 infeasible 0.3s (3, 3) r1c6-r2c6-r3c6-r3c7-r3c8-r2c8
72/975 infeasible 0.3s (3, 3) r1c6-r2c6-r3c6-r3c7-r3c8-r3c9
73/975 infeasible 0.3s (4, 2) r1c7-r1c8-r2c8-r2c7-r2c6-r3c6
74/975 infeasible 0.3s (4, 2) r1c8-r1c7-r2c7-r3c7-r3c6-r2c6
75/975 infeasible 0.3s (4, 2) r1c8-r2c8-r2c7-r1c7-r1c6-r2c6
76/975 infeasible 0.3s (4, 2) r1c8-r2c8-r2c7-r3c7-r3c6-r2c6
77/975 infeasible 0.2s (4, 2) r1c8-r2c8-r3c8-r3c7-r3c6-r2c6
78/975 infeasible 0.3s (3, 3) r1c9-r1c8-r1c7-r1c6-r2c6-r3c6
79/975 infeasible 0.3s (4, 2) r1c9-r1c8-r1c7-r2c7-r2c6-r3c6
80/975 infeasible 0.2s (4, 2) r1c9-r1c8-r2c8-r2c7-r2c6-r3c6
81/975 infeasible 0.2s (4, 2) r1c9-r2c9-r2c8-r2c7-r2c6-r3c6
82/975 infeasible 0.2s (4, 2) r2c1-r2c2-r3c2-r3c1-r4c1-r4c2
83/975 infeasible 0.2s (4, 2) r2c1-r2c2-r3c2-r3c1-r4c1-r5c1
84/975 infeasible 0.2s (3, 3) r2c1-r2c2-r3c2-r4c2-r4c1-r5c1
85/975 infeasible 0.2s (3, 3) r2c1-r2c2-r3c2-r4c2-r4c3-r5c3
86/975 infeasible 0.2s (3, 3) r2c1-r2c2-r3c2-r4c2-r5c2-r5c1
87/975 infeasible 0.2s (3, 3) r2c1-r2c2-r3c2-r4c2-r5c2-r5c3
88/975 infeasible 0.2s (3, 3) r2c1-r2c2-r3c2-r4c2-r5c2-r6c2
89/975 infeasible 0.2s (3, 3) r2c1-r3c1-r3c2-r4c2-r4c1-r5c1
90/975 infeasible 0.2s (3, 3) r2c1-r3c1-r3c2-r4c2-r4c3-r5c3
91/975 infeasible 0.2s (3, 3) r2c1-r3c1-r3c2-r4c2-r5c2-r5c1
92/975 infeasible 0.2s (3, 3) r2c1-r3c1-r3c2-r4c2-r5c2-r5c3
93/975 infeasible 0.2s (3, 3) r2c1-r3c1-r3c2-r4c2-r5c2-r6c2
94/975 infeasible 0.2s (2, 4) r2c1-r3c1-r4c1-r4c2-r4c3-r5c3
95/975 infeasible 0.2s (2, 4) r2c1-r3c1-r4c1-r4c2-r5c2-r5c1
96/975 infeasible 0.2s (2, 4) r2c1-r3c1-r4c1-r4c2-r5c2-r5c3
97/975 infeasible 0.2s (2, 4) r2c1-r3c1-r4c1-r4c2-r5c2-r6c2
98/975 infeasible 0.2s (2, 4) r2c1-r3c1-r4c1-r5c1-r5c2-r4c2
99/975 infeasible 0.2s (2, 4) r2c1-r3c1-r4c1-r5c1-r5c2-r5c3
100/975 infeasible 0.2s (2, 4) r2c1-r3c1-r4c1-r5c1-r5c2-r6c2
101/975 infeasible 0.2s (2, 4) r2c1-r3c1-r4c1-r5c1-r6c1-r6c2
102/975 infeasible 0.2s (4, 2) r2c2-r2c1-r3c1-r3c2-r4c2-r4c1
103/975 infeasible 0.2s (4, 2) r2c2-r2c1-r3c1-r3c2-r4c2-r4c3
104/975 infeasible 0.2s (4, 2) r2c2-r2c1-r3c1-r3c2-r4c2-r5c2
105/975 infeasible 0.2s (3, 3) r2c2-r2c1-r3c1-r4c1-r4c2-r4c3
106/975 infeasible 0.2s (3, 3) r2c2-r2c1-r3c1-r4c1-r4c2-r5c2
107/975 infeasible 0.2s (3, 3) r2c2-r2c1-r3c1-r4c1-r5c1-r5c2
108/975 infeasible 0.2s (3, 3) r2c2-r2c1-r3c1-r4c1-r5c1-r6c1
109/975 infeasible 0.2s (3, 3) r2c2-r3c2-r3c1-r4c1-r4c2-r4c3
110/975 infeasible 0.2s (3, 3) r2c2-r3c2-r3c1-r4c1-r4c2-r5c2
111/975 infeasible 0.2s (3, 3) r2c2-r3c2-r3c1-r4c1-r5c1-r5c2
112/975 infeasible 0.2s (3, 3) r2c2-r3c2-r3c1-r4c1-r5c1-r6c1
113/975 infeasible 0.2s (2, 4) r2c2-r3c2-r4c2-r4c1-r5c1-r5c2
114/975 infeasible 0.2s (2, 4) r2c2-r3c2-r4c2-r4c1-r5c1-r6c1
115/975 infeasible 0.2s (2, 4) r2c2-r3c2-r4c2-r4c3-r5c3-r5c2
116/975 infeasible 0.2s (2, 4) r2c2-r3c2-r4c2-r4c3-r5c3-r6c3
117/975 infeasible 0.2s (2, 4) r2c2-r3c2-r4c2-r5c2-r5c1-r4c1
118/975 infeasible 0.2s (2, 4) r2c2-r3c2-r4c2-r5c2-r5c1-r6c1
119/975 infeasible 0.2s (2, 4) r2c2-r3c2-r4c2-r5c2-r5c3-r4c3
120/975 infeasible 0.2s (2, 4) r2c2-r3c2-r4c2-r5c2-r5c3-r6c3
