1/1021 infeasible 0.2s (4, 2) r1c1-r1c2-r2c2-r3c2-r4c2-r4c1
2/1021 infeasible 0.2s (4, 2) r1c1-r1c2-r2c2-r3c2-r4c2-r4c3
3/1021 infeasible 0.2s (4, 2) r1c1-r1c2-r2c2-r3c2-r4c2-r5c2
4/1021 infeasible 0.2s (4, 2) r1c1-r2c1-r2c2-r3c2-r4c2-r4c1
5/1021 infeasible 0.2s (4, 2) r1c1-r2c1-r2c2-r3c2-r4c2-r4c3
6/1021 infeasible 0.2s (4, 2) r1c1-r2c1-r2c2-r3c2-r4c2-r5c2
7/1021 infeasible 0.2s (4, 2) r1c1-r2c1-r3c1-r3c2-r4c2-r4c1
8/1021 infeasible 0.2s (4, 2) r1c1-r2c1-r3c1-r3c2-r4c2-r4c3
9/1021 infeasible 0.2s (4, 2) r1c1-r2c1-r3c1-r3c2-r4c2-r5c2
10/1021 infeasible 0.2s (3, 3) r1c1-r2c1-r3c1-r4c1-r4c2-r4c3
11/1021 infeasible 0.2s (3, 3) r1c1-r2c1-r3c1-r4c1-r4c2-r5c2
12/1021 infeasible 0.2s (3, 3) r1c1-r2c1-r3c1-r4c1-r5c1-r5c2
13/1021 infeasible 0.2s (3, 3) r1c1-r2c1-r3c1-r4c1-r5c1-r6c1
14/1021 infeasible 0.2s (4, 2) r1c2-r1c1-r2c1-r3c1-r4c1-r4c2
15/1021 infeasible 0.2s (4, 2) r1c2-r1c1-r2c1-r3c1-r4c1-r5c1
16/1021 infeasible 0.2s (4, 2) r1c2-r2c2-r2c1-r3c1-r4c1-r4c2
17/1021 infeasible 0.2s (4, 2) r1c2-r2c2-r2c1-r3c1-r4c1-r5c1
18/1021 infeasible 0.2s (4, 2) r1c2-r2c2-r3c2-r3c1-r4c1-r4c2
19/1021 infeasible 0.2s (4, 2) r1c2-r2c2-r3c2-r3c1-r4c1-r5c1
20/1021 infeasible 0.2s (4, 2) r1c2-r2c2-r3c2-r3c3-r3c4-r3c5
21/1021 infeasible 0.2s (4, 2) r1c2-r2c2-r3c2-r3c3-r4c3-r4c2
22/1021 infeasible 0.2s (4, 2) r1c2-r2c2-r3c2-r3c3-r4c3-r5c3
23/1021 infeasible 0.2s (3, 3) r1c2-r2c2-r3c2-r4c2-r4c1-r5c1
24/1021 infeasible 0.2s (3, 3) r1c2-r2c2-r3c2-r4c2-r4c3-r5c3
25/1021 infeasible 0.2s (3, 3) r1c2-r2c2-r3c2-r4c2-r5c2-r5c1
26/1021 infeasible 0.2s (3, 3) r1c2-r2c2-r3c2-r4c2-r5c2-r5c3
27/1021 infeasible 0.2s (3, 3) r1c2-r2c2-r3c2-r4c2-r5c2-r6c2
28/1021 infeasible 0.2s (1, 4, 1) r1c6-r1c7-r1c8-r2c8-r2c7-r2c6
29/1021 infeasible 0.2s (2, 4) r1c6-r2c6-r2c7-r1c7-r1c8-r1c9
30/1021 infeasible 0.3s (2, 4) r1c6-r2c6-r2c7-r1c7-r1c8-r2c8
31/1021 infeasible 0.3s (2, 4) r1c6-r2c6-r2c7-r2c8-r1c8-r1c7
32/1021 infeasible 0.2s (2, 4) r1c6-r2c6-r2c7-r2c8-r1c8-r1c9
33/1021 infeasible 0.2s (2, 4) r1c6-r2c6-r2c7-r2c8-r2c9-r1c9
34/1021 infeasible 0.3s (2, 4) r1c6-r2c6-r2c7-r2c8-r2c9-r3c9
35/1021 infeasible 0.2s (2, 4) r1c6-r2c6-r2c7-r2c8-r3c8-r3c7
36/1021 infeasible 0.2s (2, 4) r1c6-r2c6-r2c7-r2c8-r3c8-r3c9
37/1021 infeasible 0.2s (2, 4) r1c6-r2c6-r2c7-r3c7-r3c8-r2c8
38/1021 infeasible 0.3s (2, 4) r1c6-r2c6-r2c7-r3c7-r3c8-r3c9
39/1021 infeasible 0.2s (3, 3) r1c6-r2c6-r3c6-r3c7-r2c7-r1c7
40/1021 infeasible 0.3s (3, 3) r1c6-r2c6-r3c6-r3c7-r2c7-r2c8
41/1021 infeasible 0.5s (3, 3) r1c6-r2c6-r3c6-r3c7-r3c8-r2c8
42/1021 infeasible 0.3s (3, 3) r1c6-r2c6-r3c6-r3c7-r3c8-r3c9
43/1021 infeasible 0.3s (4, 2) r1c7-r1c8-r2c8-r2c7-r2c6-r3c6
44/1021 infeasible 0.2s (2, 4) r1c7-r2c7-r2c6-r3c6-r3c5-r3c4
45/1021 infeasible 0.2s (3, 3) r1c7-r2c7-r3c7-r3c6-r3c5-r3c4
46/1021 infeasible 0.2s (2, 4) r1c8-r1c7-r1c6-r2c6-r3c6-r3c5
47/1021 infeasible 0.3s (3, 3) r1c8-r1c7-r2c7-r2c6-r3c6-r3c5
48/1021 infeasible 0.2s (4, 2) r1c8-r1c7-r2c7-r3c7-r3c6-r2c6
49/1021 infeasible 0.2s (4, 2) r1c8-r1c7-r2c7-r3c7-r3c6-r3c5
50/1021 infeasible 0.3s (4, 2) r1c8-r2c8-r2c7-r1c7-r1c6-r2c6
51/1021 infeasible 0.3s (3, 3) r1c8-r2c8-r2c7-r2c6-r3c6-r3c5
52/1021 infeasible 0.3s (4, 2) r1c8-r2c8-r2c7-r3c7-r3c6-r2c6
53/1021 infeasible 0.2s (4, 2) r1c8-r2c8-r2c7-r3c7-r3c6-r3c5
54/1021 infeasible 0.3s (4, 2) r1c8-r2c8-r3c8-r3c7-r3c6-r2c6
55/1021 infeasible 0.3s (4, 2) r1c8-r2c8-r3c8-r3c7-r3c6-r3c5
56/1021 infeasible 0.3s (3, 3) r1c9-r1c8-r1c7-r1c6-r2c6-r3c6
57/1021 infeasible 0.3s (4, 2) r1c9-r1c8-r1c7-r2c7-r2c6-r3c6
58/1021 infeasible 0.4s (4, 2) r1c9-r1c8-r2c8-r2c7-r2c6-r3c6
59/1021 infeasible 0.4s (4, 2) r1c9-r2c9-r2c8-r2c7-r2c6-r3c6
60/1021 infeasible 0.2s (4, 2) r2c1-r2c2-r3c2-r3c1-r4c1-r4c2
61/1021 infeasible 0.2s (4, 2) r2c1-r2c2-r3c2-r3c1-r4c1-r5c1
62/1021 infeasible 0.2s (4, 2) r2c1-r2c2-r3c2-r3c3-r3c4-r3c5
63/1021 infeasible 0.2s (4, 2) r2c1-r2c2-r3c2-r3c3-r4c3-r4c2
64/1021 infeasible 0.2s (4, 2) r2c1-r2c2-r3c2-r3c3-r4c3-r5c3
65/1021 infeasible 0.2s (3, 3) r2c1-r2c2-r3c2-r4c2-r4c1-r5c1
66/1021 infeasible 0.2s (3, 3) r2c1-r2c2-r3c2-r4c2-r4c3-r5c3
67/1021 infeasible 0.2s (3, 3) r2c1-r2c2-r3c2-r4c2-r5c2-r5c1
68/1021 infeasible 0.2s (3, 3) r2c1-r2c2-r3c2-r4c2-r5c2-r5c3
69/1021 infeasible 0.2s (3, 3) r2c1-r2c2-r3c2-r4c2-r5c2-r6c2
70/1021 infeasible 0.2s (4, 2) r2c1-r3c1-r3c2-r3c3-r3c4-r3c5
71/1021 infeasible 0.2s (4, 2) r2c1-r3c1-r3c2-r3c3-r4c3-r4c2
72/1021 infeasible 0.2s (4, 2) r2c1-r3c1-r3c2-r3c3-r4c3-r5c3
73/1021 infeasible 0.2s (3, 3) r2c1-r3c1-r3c2-r4c2-r4c1-r5c1
74/1021 infeasible 0.2s (3, 3) r2c1-r3c1-r3c2-r4c2-r4c3-r5c3
75/1021 infeasible 0.2s (3, 3) r2c1-r3c1-r3c2-r4c2-r5c2-r5c1
